Task,Rank,Team Name,Score_day1,Score_day2,Score_day3,Score_day4,Score_day5,Score_day6,Score_day7,Average Score,Adjusted Score
2,26,FHV,60.54483016,97.31253097,68.21188077,89.23174528,55.43661552,51.15085038,62.98443208,69.26755502,69.26755502
2,27,caleece,75.15256604,86.10928484,55.948499,96.41365381,46.4844224,50.11917109,68.73582336,68.42334579,68.42334579
2,28,Jordan_Banting,88.43379272,82.42691128,40.61867248,78.20479519,55.77831872,56.72970527,69.86052132,67.43610243,67.43610243
2,29,energizers,78.74051823,91.16881345,38.43227949,81.96684938,60.55957954,58.00891201,61.22248043,67.15706179,67.15706179
2,30,obboylabs,48.62727091,100.4810526,49.68694716,72.57974559,56.14365161,65.22840902,70.01736308,66.10920571,66.10920571
2,31,cityscience,63.36956522,94.830941,47.41033979,83.57182942,59.55387208,42.39897339,63.01461411,64.87859071,64.87859071
2,32,IERFC,76.70482605,77.9277347,42.86719728,75.54324206,54.9825997,53.17780556,58.91808465,62.87449857,62.87449857
2,33,Rana,77.53555823,78.01578013,46.98718671,75.4544478,50.43989226,44.84040971,64.23512856,62.50120049,62.50120049
2,34,ElincoEngineering,53.86491949,92.84315789,58.19738296,71.3877572,57.63720605,57.75512663,35.86398425,61.07850493,61.07850493
2,35,TeamAlpha,90.48468379,77.88223283,60.93050339,0,51.54305556,67.66520978,64.67248907,59.02545349,59.02545349
2,36,WattSmoothoperator,70.61204693,103.7632626,27.36738974,91.52935786,29.1724411,23.24778453,33.64766605,54.19142126,54.19142126
2,37,zither,66.76732609,65.93684211,39.49512397,64.01875225,34.26697917,38.08247553,47.7158868,50.89762656,50.89762656
2,38,TariqObeid,49.17920445,51.9298285,42.97009095,49.19074523,50.00441644,48.91212118,45.10437162,48.18439691,48.18439691
2,39,team_regulate,50.88043478,50.46385965,24.24242424,45.01646091,23.40277778,26.70940171,28.60262009,35.61685416,35.61685416
2,40,teal_team,61.29609355,0,44.09352912,0,0,0,59.40369328,23.54190228,23.54190228
